City,mean,count
London,4.535,20
Orlando,4.475,20
Tampa Bay,4.41,20
Rest of Hawaii,4.41,20
Bangalore,4.375,20
Dubai,4.37,20
Jakarta,4.35625,16
Hyderabad,4.344444444444445,18
Chennai,4.3149999999999995,20
Ankara,4.305,20
Abu Dhabi,4.3,20
Sandton,4.3,11
��stanbul,4.292857142857143,14
Auckland,4.275,20
Rio de Janeiro,4.265,20
Boise,4.26,20
Kolkata,4.255,20
Wellington City,4.25,20
Goa,4.245,20
Des Moines,4.235,20
Pune,4.220000000000001,20
Athens,4.2,20
Pensacola,4.2,20
Lucknow,4.1952380952380945,21
Guwahati,4.190476190476191,21
Pretoria,4.1899999999999995,20
Cedar Rapids/Iowa City,4.165,20
Ahmedabad,4.161904761904762,21
Savannah,4.154999999999999,20
Coimbatore,4.135,20
Jaipur,4.13,20
Augusta,4.13,20
Macon,4.115,20
Dalton,4.11,20
Cape Town,4.11,20
Edinburgh,4.09,20
Mumbai,4.085,20
Kochi,4.08,20
Doha,4.0600000000000005,20
Chandigarh,4.050000000000001,18
Dehradun,4.05,20
Manchester,4.045,20
Gainesville,4.035,20
Sharjah,4.029999999999999,20
Columbus,4.029999999999999,20
Vadodara,4.025,20
Vizag,4.005,20
Bhubaneshwar,3.9809523809523806,21
Ludhiana,3.9799999999999995,20
Indore,3.97,20
Agra,3.965,20
Nagpur,3.965,20
Bhopal,3.95,20
Surat,3.935,20
Colombo,3.87,20
Kanpur,3.815,20
Sioux City,3.7649999999999997,20
Mangalore,3.745,20
Puducherry,3.7299999999999995,20
Davenport,3.715,20
Valdosta,3.715,20
Mysore,3.6950000000000003,20
Amritsar,3.6857142857142855,21
Birmingham,3.6799999999999997,20
Waterloo,3.65,20
Singapore,3.575,20
Albany,3.5549999999999997,20
Dubuque,3.535,20
S��o Paulo,3.53,20
Nashik,3.5200000000000005,20
Varanasi,3.5100000000000002,20
Bras�_lia,3.495,20
Pocatello,3.4850000000000003,20
Ranchi,3.4549999999999996,20
Patna,3.4549999999999996,20
Allahabad,3.3950000000000005,20
Aurangabad,3.375,20
Ghaziabad,2.852,25
Gurgaon,2.6514311270125224,1118
New Delhi,2.4388452402704184,5473
Noida,2.0362037037037037,1080
Faridabad,1.8669322709163347,251
