Cuisines,Average_Rating,Restaurant_Count,Total_Votes
"Burger, Bar Food, Steak",4.9,1,2238
"American, Burger, Grill",4.9,1,162
"American, Caribbean, Seafood",4.9,1,548
"American, Coffee and Tea",4.9,1,570
"Mexican, American, Healthy Food",4.9,1,223
"Italian, Bakery, Continental",4.9,1,322
"BBQ, Breakfast, Southern",4.9,1,249
"European, German",4.9,1,1413
"Hawaiian, Seafood",4.9,1,1343
"Sunda, Indonesian",4.9,3,5514
"American, BBQ, Sandwich",4.9,1,1252
World Cuisine,4.9,1,95
"Continental, Indian",4.9,1,641
"American, Sandwich, Tea",4.9,1,1457
"Mughlai, Lucknowi",4.9,1,1057
"European, Contemporary",4.9,1,441
"European, Asian, Indian",4.9,1,621
"Italian, Deli",4.9,1,1424
"Filipino, Mexican",4.85,2,1364
"Beverages, International",4.8,1,59
"French, Japanese, Desserts",4.8,1,314
"Contemporary, Italian",4.8,1,542
"Continental, Middle Eastern, Asian",4.8,1,1424
"Italian, American, Pizza",4.8,1,10934
"Indian, Continental",4.8,1,2510
"European, Mediterranean, North Indian",4.8,3,12541
"International, Italian, Southern",4.8,1,1715
"Chinese, Dim Sum",4.75,2,1721
"Indian, North Indian",4.733333333333333,3,982
"Seafood, American, Mediterranean, Japanese",4.7,1,535
"American, Desserts, Steak",4.7,1,3157
"Seafood, Continental, European, German",4.7,1,681
African,4.7,1,373
"American, Burger, Cafe",4.7,1,9667
"Desserts, Bar Food",4.7,1,3074
"Desserts, Cafe, Mexican",4.7,1,344
"Desserts, B�_rek",4.7,1,1305
"Continental, American, Italian, North Indian, Chinese, Cafe",4.7,1,276
"Indian, Pakistani, Curry",4.7,1,214
"Cafe, Continental, Italian, Mexican, Chinese, American",4.7,1,1563
"Indian, North Indian, Curry, Cafe",4.7,1,964
"American, Sandwich, Salad",4.7,1,1341
"Mexican, American, Tex-Mex, Burger",4.7,3,5747
Greek,4.7,1,816
Cajun,4.7,1,1412
"North Indian, American, Asian, Biryani",4.7,1,69
"Continental, Italian, Asian, Indian",4.7,1,52
"Scottish, Cafe",4.7,1,163
"Asian, Chinese, Thai, Japanese",4.7,1,268
"Brazilian, Bar Food",4.675,4,123
"Taiwanese, Street Food",4.65,2,384
"Sandwich, Seafood, Cajun",4.65,2,1428
"American, Desserts",4.65,2,3010
"Desserts, Bakery, Western",4.6,1,903
"Mediterranean, Asian, Continental, North Indian, Arabian",4.6,1,154
"American, Continental, Burger",4.6,1,150
"Seafood, French",4.6,1,302
"American, Burger, Fast Food",4.6,1,413
"Chinese, Steak",4.6,1,717
"Brazilian, Healthy Food, Juices, Pizza",4.6,1,21
"American, Seafood, Cajun",4.6,1,489
"Cafe, Italian, Coffee and Tea, Western, Indonesian",4.6,1,1476
"Brazilian, Steak",4.6,1,2324
"Cafe, American",4.6,1,696
"Desserts, Sandwich, Ice Cream",4.6,1,880
"French, Brazilian, Beverages",4.6,1,30
"American, Japanese, Sushi",4.6,1,214
"Biryani, North Indian, Chinese, Mughlai",4.6,1,1219
"New American, Tapas",4.6,1,1293
"Continental, Mexican",4.6,1,1136
"Continental, Italian, Pizza, Asian",4.6,1,395
"BBQ, Caribbean, Seafood",4.6,1,1321
"North Indian, Chinese, Mediterranean",4.6,2,2015
"Ramen, Japanese",4.6,1,418
"European, South African",4.6,1,892
"Asian, Indonesian, Western",4.6,1,873
"North Indian, Mediterranean, Asian, Arabian",4.6,1,1267
"Persian, Arabian, Lebanese, North Indian",4.6,1,177
"Indian, Mediterranean, Middle Eastern",4.6,1,166
"Chinese, Pizza",4.6,1,728
"Asian, Burmese",4.6,1,563
"Brazilian, Bar Food, Beverages",4.6,1,58
"Finger Food, American, Continental, North Indian, Italian",4.6,1,2093
"American, Asian, Burger",4.6,1,1078
"American, Asian, European, Seafood",4.6,1,1691
Kebab,4.55,2,355
"Cafe, Burger",4.55,2,705
Filipino,4.5,3,1201
"Filipino, Japanese, Asian",4.5,1,162
"Sushi, Teriyaki",4.5,1,208
Hawaiian,4.5,1,1151
"Thai, European, Mexican, North Indian, Chinese, Cafe",4.5,1,778
"International, Indian",4.5,1,909
"Ice Cream, Desserts, Continental",4.5,1,217
"European, South African, Steak",4.5,1,287
"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",4.5,1,1210
"Continental, Goan, Seafood, North Indian",4.5,2,878
"European, North Indian, Mediterranean, American",4.5,1,213
