Cuisines,Total_Votes,Restaurant_Count,Average_Rating
"North Indian, Mughlai",53747,334,2.888622754491018
North Indian,48967,945,1.6932275132275132
"North Indian, Chinese",42012,511,2.4217221135029354
Cafe,30657,299,2.890969899665552
Chinese,21925,354,2.042090395480226
"North Indian, Mughlai, Chinese",20115,197,2.568527918781726
Fast Food,17852,354,2.118361581920904
South Indian,16433,112,2.3705357142857144
"Mughlai, North Indian",15275,60,2.091666666666667
Italian,14799,54,3.6574074074074074
"European, Mediterranean, North Indian",12541,3,4.8
Modern Indian,12355,11,4.345454545454545
"Chinese, Thai",12354,51,3.3098039215686277
Pizza,11537,53,2.207547169811321
"Continental, American, Asian, North Indian",11404,4,4.15
"Italian, American, Pizza",10934,1,4.8
"Italian, Continental, European, Cafe",10853,4,4.475
"North Indian, Continental",10760,28,3.2642857142857147
"North Indian, Chinese, Italian, Continental",10744,8,3.5125
"Pizza, Fast Food",9953,131,2.629007633587786
Street Food,9782,149,2.1617449664429533
"American, Burger, Cafe",9667,1,4.7
"Bakery, Desserts, Fast Food",8775,63,3.3666666666666667
"Continental, North Indian",8463,13,3.423076923076923
"Bakery, Desserts",8361,170,2.3176470588235296
"North Indian, Chinese, Mughlai",8195,70,2.74
"Burger, Fast Food",8150,43,3.1697674418604653
"Chinese, North Indian",8121,105,1.9038095238095238
American,7802,31,3.667741935483871
"North Indian, European, Mediterranean",7261,5,4.46
Mexican,7193,36,3.636111111111111
"Fast Food, Burger",7189,56,3.4035714285714285
"North Indian, Chinese, Continental",6906,65,3.036923076923077
"American, Fast Food",6708,20,3.35
"Bakery, Fast Food",6421,108,2.399074074074074
"American, Burger",6371,13,4.076923076923077
"Bakery, Desserts, Cafe",6307,3,4.0
"American, Fast Food, Salad, Healthy Food",6092,62,2.9000000000000004
"North Indian, Continental, Mughlai, Asian",6069,3,4.033333333333333
Indian,6068,18,4.25
"Pizza, Italian",6046,19,3.668421052631579
"Burger, Desserts, Fast Food",5974,22,3.1363636363636362
"South Indian, North Indian, Chinese",5899,42,2.8642857142857143
"Italian, Pizza",5828,24,3.6374999999999997
"Mexican, American, Tex-Mex, Burger",5747,3,4.7
"Finger Food, North Indian, Italian, Continental, Thai, South Indian",5705,1,4.5
Desserts,5587,53,2.7150943396226417
"Continental, Italian, North Indian",5535,6,3.6166666666666667
"Sunda, Indonesian",5514,3,4.9
Ice Cream,5400,74,2.09054054054054
"Parsi, Iranian",5374,3,4.066666666666666
Seafood,5332,14,4.114285714285715
"Continental, Italian",5213,13,3.5384615384615383
"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",5167,4,3.925
"North Indian, Fast Food",5159,74,2.4216216216216213
"Japanese, Sushi",5119,18,4.044444444444444
"Mughlai, North Indian, Chinese",5059,18,2.9833333333333334
"American, Continental, Italian, North Indian, Asian",4914,1,3.7
"North Indian, Chinese, Continental, Italian",4837,12,3.608333333333333
"Chinese, Fast Food",4802,118,2.055084745762712
Asian,4612,18,3.2555555555555555
"Italian, Pizza, Fast Food",4318,36,2.875
Bakery,4307,218,1.9243119266055047
"Ice Cream, Desserts",4293,83,2.774698795180723
Finger Food,4292,49,2.8755102040816327
"North Indian, Chinese, Fast Food",4173,68,2.7205882352941178
"Cafe, Mexican, American, Italian, Lebanese, Continental",4085,1,4.3
"Cafe, Italian, Fast Food",4038,2,3.9
"European, Chinese, North Indian, Italian",4027,4,4.05
Mughlai,3818,103,1.5640776699029126
"Portuguese, African",3780,4,2.875
"Mediterranean, Italian, European",3708,2,4.15
"American, North Indian, European, Asian",3697,1,3.7
"Cafe, Continental",3664,12,3.5583333333333336
"Bakery, Fast Food, Desserts",3609,3,2.3666666666666667
"Italian, Continental",3551,6,3.6833333333333336
"Chinese, North Indian, Fast Food, Italian",3536,3,4.033333333333333
"Cafe, Fast Food, Italian",3525,2,4.25
Continental,3455,21,3.566666666666667
"Cafe, Fast Food, Italian, Chinese",3449,2,3.9499999999999997
"North Indian, Mediterranean, Asian, Continental",3413,1,3.9
"Cafe, Italian, Continental",3396,6,4.1499999999999995
"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3353,14,3.5285714285714285
Thai,3299,16,4.1
"Hawaiian, Seafood, Steak",3255,3,4.333333333333333
"North Indian, South Indian, Mughlai",3251,3,2.6
"American, Tex-Mex",3244,5,3.8
"American, Desserts, Steak",3157,1,4.7
"Italian, Mediterranean, Continental, North Indian",3145,2,4.1
"Italian, Continental, Cafe",3128,2,4.15
"Desserts, Bar Food",3074,1,4.7
"Mithai, Street Food",3043,116,1.893103448275862
"Continental, North Indian, Italian",3010,6,3.6666666666666665
"South Indian, Andhra",3010,1,4.2
"American, Desserts",3010,2,4.65
"Asian, Chinese",3007,10,3.3899999999999997
"American, Seafood, Steak",2904,8,3.8375000000000004
"Latin American, Mexican, Southwestern",2897,2,4.4
"Fast Food, Chinese",2895,41,2.112195121951219
"Italian, European",2866,2,3.15
"European, American",2861,2,4.1
"Pizza, Cafe, Italian",2821,3,4.5
Burger,2737,6,4.45
"North Indian, Chinese, Italian",2715,16,3.125
"Italian, Pizza, Sandwich",2706,5,4.220000000000001
"Continental, North Indian, Italian, Asian",2671,2,3.85
"Asian, Thai, Chinese",2633,3,4.166666666666667
"Seafood, Chinese",2584,1,4.2
Southern,2573,4,3.9749999999999996
"European, Desserts",2567,2,4.2
"European, Lebanese, Mediterranean",2549,1,4.2
"Mediterranean, Italian, Continental, Spanish, North Indian",2546,2,3.55
"Cafe, Tea",2532,20,3.375
"Indian, Continental",2510,1,4.8
Japanese,2503,17,3.5352941176470587
"North Indian, Italian, Chinese, Mexican",2450,2,4.25
Bengali,2336,5,3.62
Rajasthani,2335,4,3.0999999999999996
"Brazilian, Steak",2324,1,4.6
"European, Italian, North Indian",2313,2,4.1
"North Indian, Mughlai, Chinese, South Indian",2290,5,3.7600000000000002
"North Indian, Continental, Italian",2264,9,3.4222222222222225
"Burger, Bar Food, Steak",2238,1,4.9
"Cafe, Bakery",2238,16,3.00625
"American, Bar Food",2225,4,4.225
"Spanish, Tapas",2222,3,4.066666666666666
"North Indian, South Indian, Bihari",2213,1,4.5
"North Indian, Continental, Chinese, Seafood",2191,1,4.3
"Fast Food, Beverages",2165,44,2.3272727272727276
"Continental, American, Italian, Seafood, North Indian, Cafe",2144,2,4.0
"Finger Food, Italian, North Indian",2136,2,4.1
German,2103,3,4.166666666666667
"Finger Food, American, Continental, North Indian, Italian",2093,1,4.6
"North Indian, Mediterranean, Asian",2070,3,3.8333333333333335
BBQ,2059,9,3.9777777777777774
"North Indian, Continental, Asian",2055,8,3.7375
"North Indian, European, Asian, Mediterranean",2053,2,3.75
"European, Continental",2049,5,3.66
"Cafe, Fast Food",2046,18,3.461111111111111
"Biryani, North Indian",2035,18,2.5388888888888888
"Healthy Food, Salad",2030,8,3.7
"Desserts, Ice Cream",2020,26,3.2961538461538464
"North Indian, Chinese, Mediterranean",2015,2,4.6
"Asian, Japanese, Chinese, Thai",2003,1,3.9
"Bengali, Seafood",1999,2,4.1
Pub Food,1998,1,4.4
"Continental, Italian, American",1980,1,4.1
"Cafe, Italian",1970,12,3.5833333333333335
"Mediterranean, Mexican, North Indian, American",1949,1,4.1
"Modern Indian, North Indian",1928,2,4.35
"Continental, North Indian, Mughlai, Burmese",1906,2,4.3
"Finger Food, Continental, North Indian, Italian, Chinese",1902,1,3.7
"Biryani, North Indian, Hyderabadi",1882,3,3.9666666666666663
"North Indian, Chinese, Cafe",1881,3,3.6333333333333333
"Mexican, Vegetarian",1868,1,4.5
"Continental, American, Tex-Mex, North Indian",1863,1,3.5
"Cafe, Continental, North Indian, Chinese",1859,1,4.2
"Continental, Asian, Italian, Mediterranean, Burger",1845,1,3.8
"Cafe, Continental, Italian",1830,10,4.08
"American, Southern, Southwestern",1821,1,4.5
"Italian, Mexican, Chinese, Thai, North Indian",1820,1,4.0
"American, Breakfast",1815,7,3.814285714285714
"Beverages, Fast Food",1815,15,2.4
"European, Italian, Desserts",1810,1,4.2
"Continental, North Indian, Italian, Chinese",1809,1,4.2
"American, Seafood, Southern",1803,1,4.4
"Finger Food, North Indian, Continental, Italian",1801,1,3.7
"North Indian, Continental, Goan",1774,2,4.25
"North Indian, South Indian, Chinese",1765,46,1.9434782608695653
"South Indian, Chettinad",1763,2,3.5
"North Indian, Mughlai, Biryani",1760,8,3.5749999999999997
"Continental, American, Italian, Bakery",1756,1,3.9
Beverages,1751,54,2.4833333333333334
"Cuban, Spanish",1746,1,4.4
"American, Southern",1740,4,4.225
"Continental, Chinese, North Indian",1733,7,3.042857142857143
"North Indian, Street Food",1724,22,2.6954545454545453
"Chinese, North Indian, Mughlai, Continental",1722,3,3.266666666666667
"Chinese, Dim Sum",1721,2,4.75
"Mexican, American, Italian",1720,2,4.199999999999999
"International, Italian, Southern",1715,1,4.8
"American, Asian, European, Seafood",1691,1,4.6
"Continental, North Indian, Italian, Seafood, Goan",1681,1,3.5
Breakfast,1655,4,3.9
"Cafe, Italian, Lebanese, Continental, Mediterranean",1653,1,4.1
"North Indian, Chinese, South Indian, Seafood, Chettinad",1651,4,3.65
"Gujarati, Rajasthani",1635,2,3.25
"Fast Food, Beverages, Desserts",1607,2,2.1
"European, Cafe, Italian",1607,1,4.3
"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",1589,8,3.1125
"Italian, German, Continental",1583,1,4.0
"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",1582,1,4.2
"North Indian, Mediterranean, Chinese",1566,1,3.6
"Cafe, Italian, Continental, Chinese",1563,2,3.5
"Cafe, Continental, Italian, Mexican, Chinese, American",1563,1,4.7
"Biryani, North Indian, Mughlai",1558,5,3.44
"Continental, American",1544,5,3.9200000000000004
"Cafe, Desserts",1530,9,3.433333333333333
"North Indian, Continental, Finger Food",1527,2,3.75
"Desserts, Beverages",1505,14,2.8642857142857143
"Continental, Cafe, Italian, Desserts",1504,1,4.4
