Cuisines,Average_Rating,Restaurant_Count,Total_Votes
American,3.667741935483871,31,7802
Italian,3.6574074074074074,54,14799
"Italian, Pizza",3.6374999999999997,24,5828
Mexican,3.636111111111111,36,7193
Continental,3.566666666666667,21,3455
"Fast Food, Burger",3.4035714285714285,56,7189
"Cafe, Tea",3.375,20,2532
"Bakery, Desserts, Fast Food",3.3666666666666667,63,8775
"American, Fast Food",3.35,20,6708
"Chinese, Thai",3.3098039215686277,51,12354
"Desserts, Ice Cream",3.2961538461538464,26,2020
"North Indian, Continental",3.2642857142857147,28,10760
"Burger, Fast Food",3.1697674418604653,43,8150
"Burger, Desserts, Fast Food",3.1363636363636362,22,5974
"North Indian, Chinese, Continental",3.036923076923077,65,6906
"American, Fast Food, Salad, Healthy Food",2.9000000000000004,62,6092
Cafe,2.890969899665552,299,30657
"North Indian, Mughlai",2.888622754491018,334,53747
Finger Food,2.8755102040816327,49,4292
"Italian, Pizza, Fast Food",2.875,36,4318
"South Indian, North Indian, Chinese",2.8642857142857143,42,5899
"Ice Cream, Desserts",2.774698795180723,83,4293
"North Indian, Chinese, Mughlai",2.74,70,8195
"Raw Meats, North Indian, Fast Food",2.7346938775510203,49,1033
"North Indian, Chinese, Fast Food",2.7205882352941178,68,4173
Desserts,2.7150943396226417,53,5587
"North Indian, Street Food",2.6954545454545453,22,1724
"Pizza, Fast Food",2.629007633587786,131,9953
"North Indian, Mughlai, Chinese",2.568527918781726,197,20115
Beverages,2.4833333333333334,54,1751
"South Indian, Chinese",2.426470588235294,34,1007
"North Indian, Chinese",2.4217221135029354,511,42012
"North Indian, Fast Food",2.4216216216216213,74,5159
"Bakery, Fast Food",2.399074074074074,108,6421
"Fast Food, North Indian",2.373913043478261,46,1379
South Indian,2.3705357142857144,112,16433
"Fast Food, Beverages",2.3272727272727276,44,2165
"Bakery, Desserts",2.3176470588235296,170,8361
Pizza,2.207547169811321,53,11537
Street Food,2.1617449664429533,149,9782
Fast Food,2.118361581920904,354,17852
"Fast Food, Chinese",2.112195121951219,41,2895
"Mughlai, North Indian",2.091666666666667,60,15275
Ice Cream,2.09054054054054,74,5400
"Chinese, Fast Food",2.055084745762712,118,4802
Chinese,2.042090395480226,354,21925
"North Indian, South Indian, Chinese",1.9434782608695653,46,1765
"North Indian, Chinese, South Indian",1.9382352941176473,34,1295
Bakery,1.9243119266055047,218,4307
"Chinese, North Indian",1.9038095238095238,105,8121
"Mithai, Street Food",1.893103448275862,116,3043
"Raw Meats, Fast Food",1.8340909090909092,44,391
North Indian,1.6932275132275132,945,48967
Mithai,1.6267605633802817,71,772
Mughlai,1.5640776699029126,103,3818
"North Indian, South Indian",1.5542857142857143,35,508
Biryani,1.3981481481481481,54,911
