Price range,Rating color,Aggregate rating
4,Dark Green,4.70945945945946
1,Dark Green,4.66875
3,Dark Green,4.6460317460317455
2,Dark Green,4.627536231884058
4,Green,4.188144329896907
3,Green,4.1692307692307695
2,Green,4.1593846153846155
1,Green,4.157638888888889
3,Yellow,3.716265060240964
4,Yellow,3.716
2,Yellow,3.6711586901763225
1,Yellow,3.6618421052631582
4,Orange,3.162376237623762
3,Orange,3.0977635782747606
2,Orange,3.0484912280701755
1,Orange,3.040463645943098
3,Red,2.305
2,Red,2.3000000000000003
1,Red,2.293548387096774
4,Red,2.283333333333333
1,White,0.0
2,White,0.0
3,White,0.0
4,White,0.0
