City,Average_Rating,Restaurant_Count
Abu Dhabi,4.3,20
Agra,3.965,20
Ahmedabad,4.161904761904762,21
Albany,3.5549999999999997,20
Allahabad,3.3950000000000005,20
Amritsar,3.6857142857142855,21
Ankara,4.305,20
Armidale,3.5,1
Athens,4.2,20
Auckland,4.275,20
Augusta,4.13,20
Aurangabad,3.375,20
Balingup,3.2,1
Bandung,4.2,1
Bangalore,4.375,20
Beechworth,4.6,1
Bhopal,3.95,20
Bhubaneshwar,3.9809523809523806,21
Birmingham,3.6799999999999997,20
Bogor,3.85,2
Boise,4.26,20
Bras�_lia,3.495,20
Cape Town,4.11,20
Cedar Rapids/Iowa City,4.165,20
Chandigarh,4.050000000000001,18
Chatham-Kent,3.7,1
Chennai,4.3149999999999995,20
Clatskanie,4.3,1
Cochrane,3.1,1
Coimbatore,4.135,20
Colombo,3.87,20
Columbus,4.029999999999999,20
Consort,3.0,1
Dalton,4.11,20
Davenport,3.715,20
Dehradun,4.05,20
Des Moines,4.235,20
Dicky Beach,3.6,1
Doha,4.0600000000000005,20
Dubai,4.37,20
Dubuque,3.535,20
East Ballina,4.1,1
Edinburgh,4.09,20
Faridabad,1.8669322709163347,251
Fernley,3.7,1
Flaxton,3.5,1
Forrest,3.7,1
Gainesville,4.035,20
Ghaziabad,2.852,25
Goa,4.245,20
Gurgaon,2.6514311270125224,1118
Guwahati,4.190476190476191,21
Hepburn Springs,3.8,2
Huskisson,4.1,1
Hyderabad,4.344444444444445,18
Indore,3.97,20
Inner City,4.9,2
Inverloch,3.7,1
Jaipur,4.13,20
Jakarta,4.35625,16
Johannesburg,4.2,6
Kanpur,3.815,20
Kochi,4.08,20
Kolkata,4.255,20
Lakes Entrance,3.8,1
Lakeview,3.6,1
Lincoln,4.5,1
London,4.535,20
Lorn,3.6,1
Lucknow,4.1952380952380945,21
Ludhiana,3.9799999999999995,20
Macedon,3.5,1
Macon,4.115,20
Makati City,4.65,2
Manchester,4.045,20
Mandaluyong City,4.625,4
Mangalore,3.745,20
Mayfield,2.9,1
Mc Millan,2.4,1
Middleton Beach,3.8,1
Miller,3.4,1
Mohali,4.3,1
Monroe,3.6,1
Montville,2.4,1
Mumbai,4.085,20
Mysore,3.6950000000000003,20
Nagpur,3.965,20
Nashik,3.5200000000000005,20
New Delhi,2.4388452402704184,5473
Noida,2.0362037037037037,1080
Ojo Caliente,3.6,1
Orlando,4.475,20
Palm Cove,4.4,1
Panchkula,4.2,1
Pasay City,4.366666666666667,3
Pasig City,4.633333333333334,3
Patna,3.4549999999999996,20
Paynesville,2.6,1
Penola,3.4,1
Pensacola,4.2,20
Phillip Island,3.7,1
Pocatello,3.4850000000000003,20
Potrero,3.3,1
Pretoria,4.1899999999999995,20
Princeton,4.0,1
Puducherry,3.7299999999999995,20
Pune,4.220000000000001,20
Quezon City,4.8,1
Ranchi,3.4549999999999996,20
Randburg,4.3,1
Rest of Hawaii,4.41,20
Rio de Janeiro,4.265,20
San Juan City,4.25,2
Sandton,4.3,11
Santa Rosa,3.8,2
Savannah,4.154999999999999,20
Secunderabad,4.5,2
Sharjah,4.029999999999999,20
Singapore,3.575,20
Sioux City,3.7649999999999997,20
Surat,3.935,20
S��o Paulo,3.53,20
Tagaytay City,4.5,1
Taguig City,4.525,4
Tampa Bay,4.41,20
Tangerang,4.300000000000001,2
Tanunda,4.4,1
Trentham East,4.1,1
Vadodara,4.025,20
Valdosta,3.715,20
Varanasi,3.5100000000000002,20
Vernonia,4.3,1
Victor Harbor,3.6,1
Vineland Station,4.3,1
Vizag,4.005,20
Waterloo,3.65,20
Weirton,3.9,1
Wellington City,4.25,20
Winchester Bay,3.2,1
Yorkton,3.3,1
��stanbul,4.292857142857143,14
