Cuisines,Average_Rating,Restaurant_Count
Afghani,0.725,4
"Afghani, Mughlai, Chinese",0.0,1
"Afghani, North Indian",0.0,1
"Afghani, North Indian, Pakistani, Arabian",0.0,1
African,4.7,1
"African, Portuguese",4.2,1
American,3.667741935483871,31
"American, Asian, Burger",4.6,1
"American, Asian, European, Seafood",4.6,1
"American, Asian, Italian, Seafood",4.5,1
"American, Asian, North Indian, Mexican, South Indian",3.3,1
"American, BBQ",3.8,2
"American, BBQ, Burger",3.85,2
"American, BBQ, Sandwich",4.9,1
"American, BBQ, Seafood",3.3,1
"American, BBQ, Southern",3.95,2
"American, BBQ, Steak",3.825,4
"American, Bakery, European, Burger, Fusion",3.8,1
"American, Bar Food",4.225,4
"American, Bar Food, BBQ",0.0,1
"American, Bar Food, Sandwich",3.7,1
"American, Breakfast",3.814285714285714,7
"American, Breakfast, Burger",4.033333333333333,3
"American, Breakfast, Desserts",4.3,1
"American, Breakfast, Diner",3.4,1
"American, Breakfast, Greek",4.0,1
"American, Breakfast, Hawaiian",4.2,1
"American, Breakfast, Vegetarian",4.4,1
"American, British, Continental",4.0,1
"American, Burger",4.076923076923077,13
"American, Burger, Cafe",4.7,1
"American, Burger, Cajun",3.8,1
"American, Burger, Fast Food",4.6,1
"American, Burger, Grill",4.9,1
"American, Burger, Pizza, Cafe",3.7,1
"American, Burger, Sandwich",3.85,4
"American, Cafe",4.2,1
"American, Caribbean, Seafood",4.9,1
"American, Chinese, North Indian",2.5,1
"American, Chinese, North Indian, Italian",3.5,1
"American, Chinese, Sushi",3.7,1
"American, Coffee and Tea",4.9,1
"American, Continental, Burger",4.6,1
"American, Continental, Italian",3.8,1
"American, Continental, Italian, Bakery",3.7,1
"American, Continental, Italian, North Indian, Asian",3.7,1
"American, Continental, North Indian, Chinese",3.7,1
"American, Desserts",4.65,2
"American, Desserts, Diner",3.9,1
"American, Desserts, Steak",4.7,1
"American, Diner, Southern",4.3,1
"American, European",4.2,1
"American, European, North Indian",3.5,1
"American, European, Sandwich",4.2,1
"American, Fast Food",3.35,20
"American, Fast Food, Burger",2.1142857142857143,7
"American, Fast Food, Desserts",4.0,1
"American, Fast Food, Desserts, Steak",3.3,1
"American, Fast Food, Salad, Healthy Food",2.9000000000000004,62
"American, Fast Food, Steak, Beverages",4.2,1
"American, Finger Food",3.3,1
"American, French",3.7,1
"American, Greek",3.7,1
"American, Greek, Seafood",4.0,1
"American, Grill",4.0,1
"American, Hawaiian",4.5,1
"American, Ice Cream, Desserts",4.2,1
"American, International, Southwestern",3.6,1
"American, International, Sushi",3.8,1
"American, Italian",2.82,5
"American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",3.8,1
"American, Italian, Cafe",3.6,1
"American, Italian, Chinese",4.1,1
"American, Italian, Chinese, North Indian, Cafe",3.7,1
"American, Italian, Mughlai, North Indian",3.5,1
"American, Italian, North Indian, Chinese",0.0,1
"American, Italian, North Indian, Chinese, Lebanese",3.6,1
"American, Italian, North Indian, European, Thai",4.2,1
"American, Italian, Pizza",3.9666666666666663,3
"American, Italian, Seafood",3.8499999999999996,2
"American, Japanese, Singaporean",3.2,1
"American, Japanese, Sushi",4.6,1
"American, Mediterranean, Seafood",3.7,1
"American, Mexican",3.466666666666667,3
"American, Mexican, Burger",3.9,2
"American, Mexican, Finger Food",4.2,1
"American, Mexican, Seafood",4.0,1
"American, North Indian, European, Asian",3.7,1
"American, North Indian, Thai, Continental",3.8,1
"American, Pizza",3.7,1
"American, Pizza, Bar Food",4.166666666666667,3
"American, Sandwich, Salad",4.7,1
"American, Sandwich, Seafood",4.4,1
"American, Sandwich, Tea",4.9,1
"American, Seafood",4.1,1
"American, Seafood, Cajun",4.6,1
"American, Seafood, Italian, Japanese, Thai",3.5,1
"American, Seafood, Southern",4.4,1
"American, Seafood, Steak",3.8375000000000004,8
"American, Seafood, Sushi",4.0,1
"American, Southern",4.225,4
"American, Southern, Southwestern",4.5,1
"American, Steak",3.8333333333333335,3
"American, Tapas",4.1,1
"American, Tex-Mex",3.8,5
"American, Tex-Mex, Italian, Mexican, North Indian",2.5999999999999996,2
Andhra,3.4,1
"Andhra, North Indian, Chinese",3.5,1
"Andhra, North Indian, Chinese, Seafood, Biryani",3.6,1
Arabian,3.7,1
"Arabian, Lebanese",3.1,1
"Arabian, Mexican",3.5,1
"Arabian, Middle Eastern",4.2,1
"Arabian, North Indian",2.9,1
"Argentine, American",4.5,1
Asian,3.2555555555555555,18
"Asian Fusion, Cafe",4.2,1
"Asian Fusion, Pub Food, Fusion, Asian, Filipino, Malaysian, Thai",3.5,1
"Asian, Bakery",2.8,1
"Asian, Breakfast, Hawaiian",4.2,1
"Asian, Burmese",4.6,1
"Asian, Chinese",3.3899999999999997,10
"Asian, Chinese, Japanese",4.2,1
"Asian, Chinese, North Indian",3.8,1
"Asian, Chinese, Thai",4.1,2
"Asian, Chinese, Thai, Japanese",4.7,1
"Asian, Chinese, Thai, Malaysian, Indonesian, Burmese",3.8,1
"Asian, Chinese, Thai, Vietnamese",4.2,1
"Asian, Chinese, Tibetan",4.1,1
"Asian, Chinese, Vegetarian",3.9,1
"Asian, Continental",3.5,1
"Asian, Continental, Fast Food",4.5,1
"Asian, Continental, Italian, North Indian",3.0,1
"Asian, Continental, Seafood",3.8,1
"Asian, European",3.95,2
"Asian, European, Seafood",4.2,1
"Asian, Indonesian, Western",4.6,1
"Asian, Japanese",3.1,1
"Asian, Japanese, Chinese, Thai",3.9,1
"Asian, Japanese, Korean, Thai, Chinese",4.1,1
"Asian, Japanese, Sushi",4.2,1
"Asian, Latin American, Vegetarian",4.4,1
